run,classname,last,count,delta,lenmean,lensd,lenmax
1,Float,112513,322320,209807,,,
1,String,40604,40437,-167,28.787744,66.963850,7466.000000
1,Array,2018,3037,1019,5.919987,33.134222,490.000000
1,Regexp,904,905,1,,,
1,Proc,378,453,75,,,
1,Float,112513,358750,246237,,,
1,Hash,339,366,27,13.076503,52.027123,521.000000
1,String,40604,40438,-166,28.787180,66.963118,7466.000000
1,Range,157,158,1,,,
1,Array,2018,3037,1019,5.919987,33.134222,490.000000
1,Time,91,145,54,,,
1,Regexp,904,905,1,,,
1,YAML::Syck::Scalar,14,86,72,,,
1,Proc,378,453,75,,,
1,Mongrel::Stats,18,49,31,,,
1,Hash,339,366,27,13.081967,52.039962,521.000000
1,MatchData,9,21,12,1.714286,1.309307,4.000000
1,Bignum,13,15,2,,,
1,Range,157,158,1,,,
2,Time,145,150,5,,,
2,Mongrel::Stats,49,53,4,,,
3,Float,358750,88202,-270548,,,
3,String,40438,39806,-632,28.517862,55.425917,2308.000000
3,Array,3037,1995,-1042,8.146867,40.587782,490.000000
3,Proc,453,378,-75,,,
3,Hash,366,339,-27,13.191740,53.305931,521.000000
3,Range,158,157,-1,,,
3,Time,150,93,-57,,,
3,Mongrel::Stats,53,18,-35,,,
3,YAML::Syck::Scalar,86,14,-72,,,
3,Bignum,15,13,-2,,,
3,File,12,11,-1,,,
4,Float,88202,214215,126013,,,
4,String,39806,40337,531,28.552446,56.075943,2308.000000
4,Array,1995,3032,1037,5.920185,33.160123,490.000000
4,Regexp,905,906,1,,,
4,Proc,378,446,68,,,
4,Hash,339,356,17,13.300562,52.743195,521.000000
4,Time,93,129,36,,,
4,YAML::Syck::Scalar,14,80,66,,,
4,Mongrel::Stats,18,36,18,,,
4,MatchData,9,20,11,2.250000,2.173404,8.000000
4,Bignum,13,15,2,,,
5,Float,214215,114344,-99871,,,
5,String,40337,41131,794,28.980112,67.850477,3689.000000
5,Array,3032,2116,-916,7.879017,39.596446,511.000000
5,Float,214215,128317,-85898,,,
5,Class,958,981,23,,,
5,String,40337,41270,933,29.153017,67.845730,3689.000000
5,Regexp,906,945,39,,,
5,Array,3032,2132,-900,7.880394,39.456719,511.000000
5,Proc,446,441,-5,,,
5,Class,958,981,23,,,
5,Hash,356,415,59,12.209639,48.903799,521.000000
5,Regexp,906,945,39,,,
5,Module,390,397,7,,,
5,Proc,446,441,-5,,,
5,Range,157,162,5,,,
5,Time,129,118,-11,,,
5,Hash,356,415,59,12.395181,49.260208,521.000000
5,Mongrel::Stats,36,40,4,,,
5,Module,390,397,7,,,
5,ActionView::ReloadableTemplate,0,21,21,,,
5,Range,157,162,5,,,
5,Set,16,18,2,68.888889,164.008927,521.000000
5,Time,129,126,-3,,,
5,Bignum,15,13,-2,,,
5,Mongrel::Stats,36,48,12,,,
5,Mutex,11,13,2,,,
5,ActionView::ReloadableTemplate,0,21,21,,,
7,Float,128317,99041,-29276,,,
7,String,41270,41177,-93,29.184229,68.065926,3689.000000
7,Array,2132,2123,-9,7.862459,39.540873,512.000000
7,Class,981,982,1,,,
7,Float,128317,117852,-10465,,,
7,Proc,441,442,1,,,
7,String,41270,41297,27,29.323970,68.061931,3689.000000
7,Hash,415,385,-30,13.327273,51.208895,521.000000
7,Array,2132,2136,4,7.864232,39.427903,512.000000
7,Float,128317,125677,-2640,,,
7,Time,126,132,6,,,
7,Class,981,982,1,,,
7,String,41270,41401,131,29.443612,68.030319,3689.000000
7,Mongrel::Stats,48,52,4,,,
7,Proc,441,442,1,,,
7,Array,2132,2148,16,7.939479,39.458185,512.000000
7,YAML::Syck::Scalar,0,28,28,,,
7,Hash,415,385,-30,13.576623,51.629539,521.000000
7,Class,981,982,1,,,
7,StringIO,9,12,3,337.000000,1057.850995,3689.000000
7,Time,126,145,19,,,
7,Proc,441,442,1,,,
8,Mongrel::Stats,52,65,13,,,
8,Time,132,153,21,,,
8,MatchData,8,11,3,1.818182,1.401298,4.000000
8,Mongrel::Stats,52,72,20,,,
9,MatchData,11,13,2,1.692308,1.315587,4.000000
10,Float,125677,252715,127038,,,
10,String,41401,45268,3867,30.356190,80.834388,4096.000000
10,Array,2148,6283,4135,3.886997,23.612148,512.000000
10,Regexp,945,985,40,,,
10,Proc,442,637,195,,,
10,Hash,385,526,141,11.119772,45.227751,521.000000
10,Time,153,228,75,,,
